"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"1","Value Imputed",2,2,NA,"DMARACE"
".","Missing",9963,9965,NA,"DMARACE"
"0 to 258536.54745","Range of Values",9965,9965,NA,"WTMREP01"
".","Missing",0,9965,NA,"WTMREP01"
"0 to 260734.52777","Range of Values",9965,9965,NA,"WTMREP02"
".","Missing",0,9965,NA,"WTMREP02"
"0 to 261389.69805","Range of Values",9965,9965,NA,"WTMREP03"
".","Missing",0,9965,NA,"WTMREP03"
"0 to 261672.08293","Range of Values",9965,9965,NA,"WTMREP04"
".","Missing",0,9965,NA,"WTMREP04"
"0 to 261039.26428","Range of Values",9965,9965,NA,"WTMREP05"
".","Missing",0,9965,NA,"WTMREP05"
"0 to 262491.489","Range of Values",9965,9965,NA,"WTMREP06"
".","Missing",0,9965,NA,"WTMREP06"
"0 to 258631.58327","Range of Values",9965,9965,NA,"WTMREP07"
".","Missing",0,9965,NA,"WTMREP07"
"0 to 261427.86999","Range of Values",9965,9965,NA,"WTMREP08"
".","Missing",0,9965,NA,"WTMREP08"
"0 to 263135.14291","Range of Values",9965,9965,NA,"WTMREP09"
".","Missing",0,9965,NA,"WTMREP09"
"0 to 264325.82084","Range of Values",9965,9965,NA,"WTMREP10"
".","Missing",0,9965,NA,"WTMREP10"
"0 to 265082.90502","Range of Values",9965,9965,NA,"WTMREP11"
".","Missing",0,9965,NA,"WTMREP11"
"0 to 261045.28869","Range of Values",9965,9965,NA,"WTMREP12"
".","Missing",0,9965,NA,"WTMREP12"
"0 to 259966.30733","Range of Values",9965,9965,NA,"WTMREP13"
".","Missing",0,9965,NA,"WTMREP13"
"0 to 267824.09333","Range of Values",9965,9965,NA,"WTMREP14"
".","Missing",0,9965,NA,"WTMREP14"
"0 to 264048.81824","Range of Values",9965,9965,NA,"WTMREP15"
".","Missing",0,9965,NA,"WTMREP15"
"0 to 265140.60417","Range of Values",9965,9965,NA,"WTMREP16"
".","Missing",0,9965,NA,"WTMREP16"
"0 to 260425.83848","Range of Values",9965,9965,NA,"WTMREP17"
".","Missing",0,9965,NA,"WTMREP17"
